id,company,title,url,applyUrl,source,sourceId,roleFamily,newgradStatus,locationText,workplace,remote,remoteScope,reviewLevel,experienceReferences,qualificationPaths,startWindow,startYears,skills,salary,sponsorship,sponsorshipNote,summary,newgradEvidence,aiEvidence,qualificationNote,publishedAt,deadline,verifiedAt,reviewNote
affirm-greenhouse-7822387003,Affirm,Machine Learning Engineer II (Underwriting ML),https://job-boards.greenhouse.io/affirm/jobs/7822387003,https://job-boards.greenhouse.io/affirm/jobs/7822387003,Greenhouse,7822387003,ML Engineering,unclear,Remote US,Remote,True,unspecified,automated-discovery,[2],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""PyTorch"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Deep learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Spark"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Ray"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Engineering and evaluating machine-learning models or model-powered systems.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies ML Engineering work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
ai2-greenhouse-7899565,AI2,"Research Engineer, Asta",https://job-boards.greenhouse.io/thealleninstitute/jobs/7899565,https://job-boards.greenhouse.io/thealleninstitute/jobs/7899565,Greenhouse,7899565,ML Infrastructure,early-career,"Seattle, WA",On-site,False,,curated-source-review,,"[{""degrees"":[""Bachelor""],""minYears"":2,""experienceType"":""industry"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""JD requires 2+ years in agentic and ML training/evaluation/inference infrastructure.""}]",Not stated,[],[],"[{""min"":128880,""max"":193320,""currency"":""USD"",""period"":""year"",""scope"":""US base salary""}]",Not stated,Not stated,"Build infrastructure for AI research assistants, agents, model training, evaluation, inference, and deployment.",JD requires 2+ years in agentic and ML training/evaluation/inference infrastructure.,"Build infrastructure for AI research assistants, agents, model training, evaluation, inference, and deployment.",JD requires 2+ years in agentic and ML training/evaluation/inference infrastructure.,,,2026-09-21T19:34:07Z,"Official Greenhouse public posting API returned the role ID, full-time posting, US location, full description, and application URL at 2026-09-21T19:34:07Z."
thealleninstitute-greenhouse-7723570,AI2,"Research Scientist, Asta",https://job-boards.greenhouse.io/thealleninstitute/jobs/7723570,https://job-boards.greenhouse.io/thealleninstitute/jobs/7723570,Greenhouse,7723570,Research,unclear,"Seattle, WA",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Deep learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
thealleninstitute-greenhouse-7848623,AI2,"Research Scientist, Robotics",https://job-boards.greenhouse.io/thealleninstitute/jobs/7848623,https://job-boards.greenhouse.io/thealleninstitute/jobs/7848623,Greenhouse,7848623,Research,unclear,"Seattle, WA",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Computer vision"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Deep learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Research and experimentation on machine-learning methods or model behavior.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies Research work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
aida-ashby-7e32058d-9c06-4394-ba2f-aa8628eeb838,Aida,AI Engineer,https://jobs.ashbyhq.com/aida/7e32058d-9c06-4394-ba2f-aa8628eeb838,https://jobs.ashbyhq.com/aida/7e32058d-9c06-4394-ba2f-aa8628eeb838,Ashby,7e32058d-9c06-4394-ba2f-aa8628eeb838,AI Applications,unclear,Bay Area (Palo Alto),Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""AWS"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Engineering applications or workflows that use AI models.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies AI Applications work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:57:33.199849+00:00,"Listed with a role-specific URL in the current official Ashby public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
airbnb-greenhouse-7708224,Airbnb,"Machine Learning Engineer, Relevance and Personalization",https://careers.airbnb.com/positions/7708224?gh_jid=7708224,https://careers.airbnb.com/positions/7708224?gh_jid=7708224,Greenhouse,7708224,ML Engineering,unclear,United States,Not stated,False,unspecified,automated-discovery,[2],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""C++"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Java"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Go"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""PyTorch"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""TensorFlow"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Computer vision"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Deep learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Kubernetes"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Spark"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Engineering and evaluating machine-learning models or model-powered systems.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies ML Engineering work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,The source contains a 2-year experience reference; its required/preferred status and degree-specific alternatives need confirmation.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5021015008,Anthropic,"Applied AI Engineer, Beneficial Deployments (Life Sciences)",https://job-boards.greenhouse.io/anthropic/jobs/5021015008,https://job-boards.greenhouse.io/anthropic/jobs/5021015008,Greenhouse,5021015008,AI Applications,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Go"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Engineering applications or workflows that use AI models.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies AI Applications work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5186067008,Anthropic,"Full-Stack Software Engineer, Reinforcement Learning",https://job-boards.greenhouse.io/anthropic/jobs/5186067008,https://job-boards.greenhouse.io/anthropic/jobs/5186067008,Greenhouse,5186067008,ML Engineering,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Docker"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""AWS"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""GCP"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""reinforcement learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,Engineering and evaluating machine-learning models or model-powered systems.,"Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies ML Engineering work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5364804008,Anthropic,"Machine Learning Infrastructure Engineer, Safeguards Research",https://job-boards.greenhouse.io/anthropic/jobs/5364804008,https://job-boards.greenhouse.io/anthropic/jobs/5364804008,Greenhouse,5364804008,ML Infrastructure,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""Python"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Machine learning"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,"Engineering systems for machine-learning training, deployment or inference.","Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies ML Infrastructure work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
anthropic-greenhouse-5418323008,Anthropic,"Performance Engineer, Inference Engine",https://job-boards.greenhouse.io/anthropic/jobs/5418323008,https://job-boards.greenhouse.io/anthropic/jobs/5418323008,Greenhouse,5418323008,ML Infrastructure,unclear,"San Francisco, CA | New York City, NY",Not stated,False,unspecified,automated-discovery,[],"[{""degrees"":[],""minYears"":null,""experienceType"":""not stated"",""graduation"":""Not stated"",""graduationYears"":[],""evidence"":""No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.""}]",Not stated,[],"[{""name"":""C++"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""Go"",""level"":""mentioned"",""alternativeGroup"":null},{""name"":""LLMs"",""level"":""mentioned"",""alternativeGroup"":null}]",[],Not stated,Not reviewed in this discovery layer.,"Engineering systems for machine-learning training, deployment or inference.","Graduate eligibility has not been established. This role is a broader discovery lead, separately selectable from reviewed graduate pathways.",The official title identifies ML Infrastructure work and the description contains model-specific terminology. Technical responsibilities must be checked in the linked source.,No numeric experience floor was recognized by the automated screen. This does not establish a zero-experience pathway.,,,2026-09-21T19:48:57.350813+00:00,"Listed with a role-specific URL in the current official Greenhouse public board. Automatically screened for US locations, AI titles and experience references; compound qualification paths, salary, employment terms and graduate eligibility have not been individually reviewed."
